ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Reported land area ,Forest land area,Land area under non-agricultural uses,Barren and unculturable land area,Permanent pasture and other grazing land area,Land under miscellaneous Tree Crops and Groves not included in Net Area Sown,Culturable waste land area,Fallow lands other than current fallow lands,Current Fallow land area,Net sown land area,Cropped land area,Land area sown more than once
1,India,1,Jammu And Kashmir,1,Anantnag,2011,"Agriculture Year (Jul - Jun), 2011",72149,288,5878,6604,6905,2093,2520,0,0,47861,71432,23571
2,India,1,Jammu And Kashmir,1,Anantnag,2012,"Agriculture Year (Jul - Jun), 2012",72149,253,5878,6129,6905,2093,2768,262,0,47861,71432,23571
3,India,1,Jammu And Kashmir,1,Anantnag,2013,"Agriculture Year (Jul - Jun), 2013",72149,253,5878,6129,6905,2093,2768,262,0,47861,71520,23659
4,India,1,Jammu And Kashmir,1,Anantnag,2014,"Agriculture Year (Jul - Jun), 2014",72149,253,5878,6129,6983,2020,2768,287,602,47229,70955,23726
5,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",72149,253,5878,6129,6983,2092,3049,2460,9882,35423,58830,23407
6,India,1,Jammu And Kashmir,1,Anantnag,2016,"Agriculture Year (Jul - Jun), 2016",72199,247,5878,6129,6983,2075,3049,0,1228,46610,70300,23690
7,India,1,Jammu And Kashmir,1,Anantnag,2017,"Agriculture Year (Jul - Jun), 2017",72199,197,5878,6129,6983,2075,3252,369,1330,45986,69241,23255
8,India,1,Jammu And Kashmir,1,Anantnag,2018,"Agriculture Year (Jul - Jun), 2018",73321,167,5878,7029,6275,2045,4592,373,2193,44769,68012,23243
9,India,1,Jammu And Kashmir,1,Anantnag,2019,"Agriculture Year (Jul - Jun), 2019",72199,167,5878,6239,6218,1915,4592,371,1527,45292,67297,22005
10,India,1,Jammu And Kashmir,2,Budgam,2011,"Agriculture Year (Jul - Jun), 2011",77829,721,6012,3590,8828,2519,3276,2156,9185,41542,52890,11348
11,India,1,Jammu And Kashmir,2,Budgam,2012,"Agriculture Year (Jul - Jun), 2012",77827,711,5344,3966,5237,3299,7494,2433,5655,43688,55734,12046
12,India,1,Jammu And Kashmir,2,Budgam,2013,"Agriculture Year (Jul - Jun), 2013",77827,711,5344,3966,5237,3299,7494,2402,7110,42264,55337,13073
13,India,1,Jammu And Kashmir,2,Budgam,2014,"Agriculture Year (Jul - Jun), 2014",77827,711,5384,3524,5237,3299,6494,89,0,53089,66164,13075
14,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",77827,711,5384,3524,5237,1772,2499,0,0,58700,71407,12707
15,India,1,Jammu And Kashmir,2,Budgam,2016,"Agriculture Year (Jul - Jun), 2016",77807,711,6574,3539,4885,946,4142,2046,13148,41816,54139,12323
16,India,1,Jammu And Kashmir,2,Budgam,2017,"Agriculture Year (Jul - Jun), 2017",77807,699,6554,3508,4876,946,4146,2033,14888,40157,54042,13885
17,India,1,Jammu And Kashmir,2,Budgam,2018,"Agriculture Year (Jul - Jun), 2018",76079,588,5474,4630,4850,930,4146,2033,7724,45704,60066,14362
